Class Times	12
Rooms	100
1	559
2	633
3	335
4	665
5	443
6	716
7	78
8	420
9	109
10	95
11	93
12	776
13	448
14	510
15	572
16	959
17	643
18	37
19	588
20	482
21	871
22	471
23	988
24	832
25	615
26	865
27	949
28	927
29	202
30	173
31	750
32	486
33	461
34	32
35	61
36	45
37	582
38	28
39	146
40	847
41	174
42	906
43	970
44	888
45	381
46	723
47	864
48	962
49	441
50	454
51	653
52	819
53	291
54	955
55	211
56	828
57	501
58	263
59	573
60	125
61	411
62	138
63	257
64	528
65	755
66	15
67	813
68	989
69	523
70	146
71	535
72	539
73	741
74	855
75	314
76	689
77	917
78	144
79	370
80	20
81	779
82	847
83	953
84	481
85	63
86	208
87	441
88	698
89	927
90	934
91	928
92	445
93	75
94	279
95	427
96	168
97	493
98	68
99	823
100	902
Classes	1000
Teachers	500
1	476
2	100
3	484
4	476
5	181
6	442
7	63
8	340
9	416
10	423
11	486
12	152
13	6
14	107
15	97
16	121
17	122
18	74
19	444
20	34
21	338
22	407
23	51
24	144
25	437
26	382
27	392
28	303
29	354
30	174
31	315
32	113
33	229
34	202
35	444
36	257
37	313
38	199
39	132
40	256
41	431
42	144
43	365
44	50
45	255
46	50
47	123
48	425
49	251
50	69
51	164
52	414
53	464
54	379
55	306
56	408
57	168
58	41
59	244
60	5
61	194
62	432
63	346
64	254
65	308
66	173
67	493
68	176
69	342
70	217
71	342
72	259
73	253
74	63
75	149
76	73
77	88
78	67
79	412
80	300
81	204
82	69
83	313
84	128
85	91
86	357
87	58
88	68
89	291
90	185
91	42
92	160
93	68
94	230
95	374
96	343
97	98
98	139
99	184
100	473
101	80
102	438
103	84
104	331
105	247
106	104
107	322
108	51
109	482
110	335
111	103
112	232
113	70
114	86
115	77
116	131
117	393
118	54
119	389
120	78
121	59
122	387
123	183
124	81
125	126
126	255
127	91
128	464
129	411
130	410
131	41
132	78
133	493
134	205
135	235
136	43
137	239
138	209
139	42
140	245
141	134
142	486
143	214
144	273
145	106
146	319
147	490
148	409
149	290
150	67
151	321
152	329
153	338
154	12
155	451
156	134
157	184
158	311
159	348
160	341
161	217
162	475
163	497
164	193
165	302
166	466
167	97
168	137
169	88
170	463
171	195
172	58
173	286
174	164
175	429
176	253
177	192
178	366
179	290
180	259
181	450
182	234
183	249
184	314
185	146
186	8
187	116
188	162
189	210
190	449
191	479
192	272
193	207
194	210
195	297
196	52
197	23
198	489
199	257
200	477
201	108
202	387
203	250
204	192
205	373
206	451
207	437
208	258
209	272
210	306
211	335
212	60
213	141
214	284
215	7
216	24
217	173
218	404
219	190
220	251
221	363
222	467
223	347
224	183
225	34
226	372
227	129
228	54
229	114
230	414
231	93
232	376
233	199
234	233
235	132
236	127
237	296
238	453
239	2
240	365
241	371
242	35
243	202
244	242
245	12
246	207
247	3
248	83
249	231
250	151
251	16
252	22
253	258
254	390
255	479
256	482
257	268
258	156
259	470
260	98
261	445
262	236
263	182
264	469
265	449
266	303
267	48
268	18
269	182
270	57
271	15
272	60
273	120
274	176
275	8
276	161
277	330
278	366
279	66
280	480
281	318
282	236
283	396
284	265
285	428
286	320
287	274
288	110
289	226
290	179
291	93
292	143
293	122
294	175
295	133
296	250
297	174
298	3
299	279
300	416
301	300
302	181
303	362
304	419
305	80
306	325
307	457
308	421
309	470
310	53
311	158
312	149
313	329
314	431
315	216
316	65
317	350
318	472
319	275
320	82
321	388
322	371
323	347
324	397
325	424
326	462
327	446
328	403
329	44
330	36
331	233
332	278
333	295
334	31
335	343
336	280
337	197
338	137
339	351
340	123
341	297
342	279
343	411
344	488
345	398
346	37
347	33
348	429
349	227
350	30
351	57
352	24
353	304
354	165
355	498
356	487
357	213
358	353
359	75
360	440
361	323
362	136
363	295
